"Year","Month","Temperature","City"
1933,8,74.8,"NYC"
1933,9,69.5,"NYC"
1933,10,56.1,"NYC"
1933,11,41.8,"NYC"
1933,12,32.7,"NYC"
1934,1,34.6,"NYC"
1934,2,19.9,"NYC"
1934,3,37.3,"NYC"
1934,4,50.3,"NYC"
1934,5,63.6,"NYC"
1934,6,73.8,"NYC"
1934,7,77.7,"NYC"
1934,8,72,"NYC"
1934,9,69.2,"NYC"
1934,10,54.5,"NYC"
1934,11,48.8,"NYC"
1934,12,33.4,"NYC"
1935,1,28.8,"NYC"
1935,2,31.2,"NYC"
1935,3,43.4,"NYC"
1935,4,49.6,"NYC"
1935,5,59.9,"NYC"
1935,6,70.1,"NYC"
1935,7,77.2,"NYC"
1935,8,74.6,"NYC"
1935,9,65.3,"NYC"
1935,10,57.4,"NYC"
1935,11,48.6,"NYC"
1935,12,30,"NYC"
1936,1,29.3,"NYC"
1936,2,25.7,"NYC"
1936,3,45.2,"NYC"
1936,4,47.8,"NYC"
1936,5,64.4,"NYC"
1936,6,69.7,"NYC"
1936,7,76.2,"NYC"
1936,8,75.4,"NYC"
1936,9,68.1,"NYC"
1936,10,57.5,"NYC"
1936,11,42.6,"NYC"
1936,12,38.6,"NYC"
1937,1,40.3,"NYC"
1937,2,34.8,"NYC"
1937,3,36.5,"NYC"
1937,4,49.6,"NYC"
1937,5,64.2,"NYC"
1937,6,71.8,"NYC"
1937,7,76.5,"NYC"
1937,8,76.6,"NYC"
1937,9,66,"NYC"
1937,10,55.1,"NYC"
1937,11,46.4,"NYC"
1937,12,35.4,"NYC"
1938,1,32.1,"NYC"
1938,2,35.4,"NYC"
1938,3,44.1,"NYC"
1938,4,53.7,"NYC"
1938,5,60.8,"NYC"
1938,6,70.3,"NYC"
1938,7,76.5,"NYC"
1938,8,78.2,"NYC"
1938,9,66,"NYC"
1938,10,59.8,"NYC"
1938,11,48.3,"NYC"
1938,12,36.9,"NYC"
1939,1,32.2,"NYC"
1939,2,37,"NYC"
1939,3,39.2,"NYC"
1939,4,48.3,"NYC"
1939,5,64.9,"NYC"
1939,6,72.9,"NYC"
1939,7,76.6,"NYC"
1939,8,78,"NYC"
1939,9,68.6,"NYC"
1939,10,57.3,"NYC"
1939,11,43.7,"NYC"
1939,12,36.9,"NYC"
1940,1,24.9,"NYC"
1940,2,32.9,"NYC"
1940,3,35.1,"NYC"
1940,4,46.8,"NYC"
1940,5,60.7,"NYC"
1940,6,70.4,"NYC"
1940,7,76.2,"NYC"
1940,8,71.3,"NYC"
1940,9,66.6,"NYC"
1940,10,53.7,"NYC"
1940,11,45.3,"NYC"
1940,12,38.4,"NYC"
1941,1,29.4,"NYC"
1941,2,31.1,"NYC"
1941,3,35.9,"NYC"
1941,4,56.8,"NYC"
1941,5,64.7,"NYC"
1941,6,71.9,"NYC"
1941,7,75.8,"NYC"
1941,8,74,"NYC"
1941,9,70,"NYC"
1941,10,60.7,"NYC"
1941,11,50,"NYC"
1941,12,38.3,"NYC"
1942,1,30.7,"NYC"
1942,2,29.6,"NYC"
1942,3,43,"NYC"
1942,4,53.9,"NYC"
1942,5,65.3,"NYC"
1942,6,71,"NYC"
1942,7,76.3,"NYC"
1942,8,73.6,"NYC"
1942,9,68.3,"NYC"
1942,10,58.7,"NYC"
1942,11,47,"NYC"
1942,12,31.1,"NYC"
1943,1,30.7,"NYC"
1943,2,34.6,"NYC"
1943,3,40.2,"NYC"
1943,4,46.1,"NYC"
1943,5,62.5,"NYC"
1943,6,76.2,"NYC"
1943,7,76.9,"NYC"
1943,8,75.9,"NYC"
1943,9,67.3,"NYC"
1943,10,55.8,"NYC"
1943,11,45.3,"NYC"
1943,12,33,"NYC"
1944,1,33.9,"NYC"
1944,2,33.2,"NYC"
1944,3,37.7,"NYC"
1944,4,48.8,"NYC"
1944,5,67,"NYC"
1944,6,72.3,"NYC"
1944,7,79.4,"NYC"
1944,8,77.8,"NYC"
1944,9,70,"NYC"
1944,10,57,"NYC"
1944,11,46,"NYC"
1944,12,32.3,"NYC"
1945,1,25.2,"NYC"
1945,2,33.9,"NYC"
1945,3,51.1,"NYC"
1945,4,55.6,"NYC"
1945,5,59.2,"NYC"
1945,6,70.8,"NYC"
1945,7,74.6,"NYC"
1945,8,73.4,"NYC"
1945,9,70.3,"NYC"
1945,10,56.2,"NYC"
1945,11,47.6,"NYC"
1945,12,31,"NYC"
1946,1,34.1,"NYC"
1946,2,31.7,"NYC"
1946,3,49.8,"NYC"
1946,4,50.4,"NYC"
1946,5,61.9,"NYC"
1946,6,69.7,"NYC"
1946,7,75.4,"NYC"
1946,8,70.9,"NYC"
1946,9,69.8,"NYC"
1946,10,61.7,"NYC"
1946,11,50.4,"NYC"
1946,12,38.1,"NYC"
1947,1,37.1,"NYC"
1947,2,29.2,"NYC"
1947,3,37.8,"NYC"
1947,4,50.4,"NYC"
1947,5,59.9,"NYC"
1947,6,68.4,"NYC"
1947,7,75.5,"NYC"
1947,8,75.9,"NYC"
1947,9,68.6,"NYC"
1947,10,63.6,"NYC"
1947,11,44.2,"NYC"
1947,12,34,"NYC"
1948,1,25.3,"NYC"
1948,2,30.7,"NYC"
1948,3,42,"NYC"
1948,4,51,"NYC"
1948,5,60.2,"NYC"
1948,6,69.4,"NYC"
1948,7,77.1,"NYC"
1948,8,75.3,"NYC"
1948,9,70.2,"NYC"
1948,10,56.6,"NYC"
1948,11,52.4,"NYC"
1948,12,38.3,"NYC"
1949,1,38.6,"NYC"
1949,2,38.6,"NYC"
1949,3,42.9,"NYC"
1949,4,53.7,"NYC"
1949,5,63,"NYC"
1949,6,74.2,"NYC"
1949,7,79.6,"NYC"
1949,8,76.7,"NYC"
1949,9,66.2,"NYC"
1949,10,63.1,"NYC"
1949,11,46.3,"NYC"
1949,12,39.4,"NYC"
1950,1,41.4,"NYC"
1950,2,31.6,"NYC"
1950,3,36.3,"NYC"
1950,4,48.4,"NYC"
1950,5,58.7,"NYC"
1950,6,70.2,"NYC"
1950,7,75,"NYC"
1950,8,73.1,"NYC"
1950,9,64.6,"NYC"
1950,10,60,"NYC"
1950,11,48.4,"NYC"
1950,12,34.9,"NYC"
1951,1,36.2,"NYC"
1951,2,36.2,"NYC"
1951,3,41.5,"NYC"
1951,4,53,"NYC"
1951,5,63.3,"NYC"
1951,6,69.8,"NYC"
1951,7,76.8,"NYC"
1951,8,74.6,"NYC"
1951,9,68.2,"NYC"
1951,10,58.6,"NYC"
1951,11,43.5,"NYC"
1951,12,37.7,"NYC"
1952,1,36.2,"NYC"
1952,2,36.2,"NYC"
1952,3,40.2,"NYC"
1952,4,55.1,"NYC"
1952,5,60.7,"NYC"
1952,6,73.5,"NYC"
1952,7,80.3,"NYC"
1952,8,74.9,"NYC"
1952,9,69.9,"NYC"
1952,10,55.7,"NYC"
1952,11,48.5,"NYC"
1952,12,38.4,"NYC"
1953,1,37.6,"NYC"
1953,2,38.4,"NYC"
1953,3,43.3,"NYC"
1953,4,52.3,"NYC"
1953,5,63.4,"NYC"
1953,6,73.4,"NYC"
1953,7,77.8,"NYC"
1953,8,75.8,"NYC"
1953,9,70.4,"NYC"
1953,10,60.7,"NYC"
1953,11,49.7,"NYC"
1953,12,41.3,"NYC"
1954,1,30.8,"NYC"
1954,2,40.1,"NYC"
1954,3,41.5,"NYC"
1954,4,53.7,"NYC"
1954,5,59.8,"NYC"
1954,6,71.6,"NYC"
1954,7,76.7,"NYC"
1954,8,72.7,"NYC"
1954,9,67.4,"NYC"
1954,10,61.7,"NYC"
1954,11,46.4,"NYC"
1954,12,35.9,"NYC"
1955,1,30.9,"NYC"
1955,2,35,"NYC"
1955,3,41.7,"NYC"
1955,4,53.5,"NYC"
1955,5,65.4,"NYC"
1955,6,68.9,"NYC"
1955,7,80.9,"NYC"
1955,8,78.1,"NYC"
1955,9,67.8,"NYC"
1955,10,59.8,"NYC"
1955,11,44.2,"NYC"
1955,12,29.7,"NYC"
1956,1,32,"NYC"
1956,2,36.6,"NYC"
1956,3,37.4,"NYC"
1956,4,48.2,"NYC"
1956,5,58.6,"NYC"
1956,6,71.4,"NYC"
1956,7,72.9,"NYC"
1956,8,74.2,"NYC"
1956,9,64.8,"NYC"
1956,10,58.1,"NYC"
1956,11,46.7,"NYC"
1956,12,40.9,"NYC"
1957,1,28.5,"NYC"
1957,2,37.2,"NYC"
1957,3,41.9,"NYC"
1957,4,53.2,"NYC"
1957,5,63.1,"NYC"
1957,6,74.3,"NYC"
1957,7,77.7,"NYC"
1957,8,73.6,"NYC"
1957,9,69.7,"NYC"
1957,10,56.2,"NYC"
1957,11,49.4,"NYC"
1957,12,40.2,"NYC"
1958,1,31.9,"NYC"
1958,2,27.4,"NYC"
1958,3,40.2,"NYC"
1958,4,52.9,"NYC"
1958,5,59.1,"NYC"
1958,6,67.2,"NYC"
1958,7,76.1,"NYC"
1958,8,75.1,"NYC"
